CODE	E_E
1111000000	34.81
1114000000	35.93
1117000000	20.43
1120000000	23.85
1121500000	21.35
1123000000	21.88
1126000000	20.02
1129000000	24.25
1130500000	17.53
1132000000	22.14
1135000000	28.68
1138000000	21.88
1141000000	20.18
1144000000	19.09
1147000000	22.67
1150000000	22.75
1153000000	21.02
1154500000	22.01
1156000000	21.34
1159000000	19.17
1162000000	17.57
1165000000	18.11
1168000000	21.33
1171000000	20.36
1174000000	21.31
2611000000	31.31
2614000000	30.52
2617000000	27.00
2620000000	36.17
2623000000	30.57
2626000000	28.81
2629000000	28.01
2632000000	32.40
2635000000	25.36
2638000000	30.79
2641000000	31.81
2644000000	39.87
2647000000	21.04
2650000000	22.05
2653000000	31.52
2671000000	40.68
2711000000	40.50
2714000000	32.76
2717000000	31.05
2720000000	25.23
2723000000	33.84
2726000000	28.52
2729000000	33.12
2771000000	40.49
2811000000	42.22
2814000000	41.57
2818500000	29.94
2817700000	22.75
2820000000	27.98
2823700000	29.90
2824500000	29.32
2826000000	30.63
2871000000	80.92
2872000000	122.22
2911000000	39.85
2914000000	35.74
2915500000	45.20
2917000000	43.68
2920000000	43.39
3011000000	34.97
3014000000	39.91
3017000000	33.48
3020000000	43.01
3023000000	38.55
3111000000	35.39
3114000000	32.81
3117000000	36.99
3120000000	42.01
3171000000	48.08
3600000000	44.97
4111000000	32.29
4113000000	29.25
4119000000	30.18
4117000000	29.27
4129000000	25.30
4127000000	30.84
4146000000	32.40
4141000000	34.33
4143000000	29.30
4139000000	33.14
4122000000	40.39
4159000000	41.16
4137000000	39.18
4121000000	30.81
4161000000	24.34
4145000000	27.26
4157000000	37.98
4150000000	48.08
4155000000	55.08
4167000000	70.60
4183000000	56.39
4128000000	31.13
4136000000	32.80
4131000000	30.39
4115000000	28.59
4148000000	42.52
4125000000	43.45
4163000000	44.71
4165000000	56.36
4182000000	60.92
4180000000	78.13
4211000000	42.08
4213000000	45.71
4215000000	44.53
4217000000	48.57
4219000000	77.25
4221000000	33.87
4223000000	87.37
4272000000	96.76
4273000000	101.14
4275000000	113.81
4276000000	110.36
4277000000	127.47
4278000000	82.78
4279000000	136.78
4280000000	130.17
4281000000	116.74
4282000000	119.59
4283000000	114.51
4311000000	36.69
4313000000	52.33
4315000000	57.14
4372000000	123.41
4373000000	73.23
4374000000	82.15
4375000000	52.56
4376000000	99.00
4377000000	63.34
4380000000	99.47
4374500000	40.75
4413000000	37.19
4415000000	82.26
4418000000	79.82
4420000000	43.02
4421000000	52.39
4423000000	78.85
4425000000	42.03
4471000000	85.58
4476000000	100.99
4477000000	100.26
4479000000	100.17
4480000000	63.93
4481000000	85.81
4482500000	80.37
4427000000	52.93
4511000000	39.55
4513000000	57.49
4514000000	63.77
4518000000	96.77
4519000000	96.70
4521000000	120.07
4571000000	93.88
4572000000	157.52
4573000000	124.81
4574000000	126.78
4575000000	150.11
4577000000	143.83
4579000000	115.53
4580000000	126.58
4611000000	50.88
4613000000	56.74
4615000000	49.26
4617000000	70.93
4623000000	57.32
4671000000	86.43
4672000000	82.03
4673000000	112.76
4677000000	87.61
4678000000	125.98
4679000000	78.37
4680000000	116.40
4681000000	118.51
4682000000	79.93
4683000000	91.25
4684000000	66.18
4686000000	102.96
4687000000	84.75
4688000000	87.71
4689000000	126.21
4690000000	112.08
4691000000	148.95
4711000000	48.52
4713000000	54.83
4715000000	64.04
4717000000	61.67
4719000000	49.24
4721000000	63.03
4723000000	59.80
4725000000	92.57
4728000000	77.02
4729000000	44.36
4772000000	90.30
4773000000	92.80
4775000000	115.80
4776000000	119.82
4777000000	88.12
4782000000	85.18
4783000000	79.72
4784000000	85.23
4785000000	61.87
4790000000	70.13
4792000000	123.83
4793000000	86.21
4794000000	132.20
4812000000	40.42
4817000000	40.79
4822000000	49.11
4824000000	51.30
4825000000	37.98
4827000000	62.00
4831000000	51.68
4833000000	39.18
4872000000	115.67
4873000000	76.35
4874000000	86.46
4882000000	95.40
4884000000	88.46
4885000000	100.48
4886000000	100.41
4887000000	89.56
4888000000	78.05
4889000000	106.80
5011000000	39.80
5013000000	63.13
