CODE	E_H
1111000000	5.36
1114000000	2.40
1117000000	1.30
1120000000	1.02
1121500000	1.15
1123000000	1.75
1126000000	0.51
1129000000	1.83
1130500000	0.65
1132000000	0.31
1135000000	1.15
1138000000	0.21
1141000000	2.56
1144000000	0.54
1147000000	0.00
1150000000	0.69
1153000000	0.74
1154500000	0.43
1156000000	0.79
1159000000	1.28
1162000000	0.61
1165000000	1.65
1168000000	0.56
1171000000	0.15
1174000000	0.22
2614000000	0.00
2620000000	1.76
2623000000	0.83
2629000000	1.49
2632000000	0.35
2635000000	0.00
2638000000	0.64
2641000000	1.72
2647000000	1.43
2653000000	1.88
2711000000	0.00
2714000000	0.00
2717000000	0.59
2720000000	1.36
2723000000	1.14
2726000000	0.24
2729000000	0.54
2771000000	0.39
2814000000	1.60
2818500000	0.26
2820000000	0.19
2823700000	0.20
2824500000	0.67
2871000000	1.45
2911000000	2.92
2915500000	1.86
2917000000	1.63
2920000000	0.99
3011000000	2.24
3014000000	0.85
3017000000	0.84
3020000000	1.99
3023000000	1.13
3111000000	0.00
3114000000	0.31
3117000000	1.28
3171000000	1.35
3600000000	1.12
4111000000	0.51
4113000000	0.43
4115000000	0.22
4117000000	0.91
4119000000	0.49
4122000000	0.56
4125000000	1.06
4127000000	0.61
4128000000	0.46
4129000000	1.58
4136000000	0.14
4137000000	0.87
4139000000	0.40
4141000000	0.37
4143000000	0.61
4146000000	0.93
4148000000	0.43
4150000000	1.83
4163000000	0.43
4167000000	0.89
4159000000	0.82
4161000000	1.31
4165000000	1.36
4182000000	1.60
4183000000	0.84
4155000000	1.60
4157000000	0.42
4211000000	2.12
4213000000	0.85
4215000000	1.88
4219000000	2.34
4223000000	0.00
4273000000	4.30
4275000000	2.59
4276000000	0.00
4282000000	3.74
4311000000	0.95
4313000000	0.95
4315000000	2.26
4373000000	1.98
4374000000	2.11
4376000000	2.54
4377000000	2.15
4413000000	1.21
4415000000	1.91
4418000000	1.00
4420000000	0.95
4421000000	0.57
4423000000	2.57
4427000000	0.60
4471000000	1.95
4476000000	1.53
4479000000	3.23
4480000000	2.00
4481000000	0.00
4511000000	1.06
4513000000	1.49
4514000000	1.42
4518000000	0.92
4521000000	0.00
4571000000	3.27
4575000000	3.66
4611000000	1.34
4613000000	0.36
4615000000	1.06
4617000000	2.59
4623000000	1.32
4671000000	2.16
4672000000	3.57
4683000000	3.72
4684000000	2.32
4687000000	1.88
4711000000	0.99
4713000000	1.58
4715000000	1.42
4717000000	2.52
4719000000	0.72
4721000000	1.94
4723000000	0.98
4725000000	0.00
4728000000	1.40
4729000000	4.93
4783000000	0.00
4785000000	1.74
4790000000	1.80
4812000000	0.58
4817000000	1.44
4824000000	0.00
4825000000	0.74
4831000000	1.22
4833000000	0.57
4884000000	2.33
4888000000	3.25
5011000000	0.81
