CODE	E_L
1111000000	84.35
1114000000	70.27
1117000000	16.08
1120000000	16.35
1121500000	9.52
1123000000	12.25
1126000000	7.35
1129000000	10.07
1130500000	8.44
1132000000	6.76
1135000000	5.35
1138000000	5.42
1141000000	10.57
1144000000	30.12
1147000000	7.93
1150000000	14.48
1153000000	22.75
1154500000	39.27
1156000000	37.68
1159000000	18.92
1162000000	13.74
1165000000	46.81
1168000000	40.61
1171000000	12.73
1174000000	5.87
2611000000	19.27
2614000000	4.62
2617000000	13.50
2620000000	3.53
2623000000	14.73
2626000000	6.28
2629000000	4.86
2632000000	4.23
2635000000	6.22
2638000000	1.92
2641000000	6.88
2644000000	2.90
2647000000	11.00
2650000000	3.39
2653000000	7.53
2671000000	1.72
2711000000	27.43
2714000000	8.48
2717000000	1.76
2720000000	10.91
2723000000	5.22
2726000000	5.42
2729000000	5.55
2771000000	1.93
2811000000	5.01
2814000000	9.59
2817700000	7.42
2818500000	7.23
2820000000	5.90
2823700000	5.45
2824500000	4.04
2826000000	4.06
2871000000	1.45
2911000000	15.55
2914000000	11.46
2915500000	6.06
2917000000	8.60
2920000000	5.67
3011000000	4.93
3014000000	10.61
3017000000	5.86
3020000000	6.55
3023000000	5.10
3111000000	2.76
3114000000	5.62
3117000000	3.83
3120000000	1.83
3171000000	2.25
3600000000	5.06
4111000000	9.61
4113000000	10.74
4119000000	10.26
4117000000	10.91
4129000000	7.91
4127000000	10.99
4146000000	6.98
4141000000	5.48
4143000000	3.05
4139000000	5.59
4122000000	3.72
4159000000	4.44
4137000000	4.79
4121000000	10.72
4161000000	3.66
4145000000	5.79
4157000000	5.49
4150000000	9.62
4155000000	4.81
4167000000	3.57
4183000000	4.21
4128000000	8.34
4136000000	3.08
4131000000	7.09
4115000000	8.66
4148000000	6.44
4125000000	6.36
4163000000	3.91
4165000000	7.47
4182000000	9.62
4180000000	4.60
4211000000	9.19
4213000000	5.64
4215000000	7.03
4217000000	6.62
4219000000	4.68
4221000000	4.84
4223000000	7.66
4272000000	4.33
4273000000	6.46
4275000000	7.76
4276000000	7.20
4277000000	2.71
4278000000	4.47
4279000000	8.05
4280000000	8.98
4281000000	15.78
4282000000	7.47
4283000000	3.58
4311000000	4.26
4313000000	6.18
4315000000	6.77
4372000000	9.26
4373000000	5.94
4374000000	4.21
4375000000	7.17
4376000000	7.62
4377000000	4.29
4380000000	6.86
4374500000	5.43
4413000000	8.35
4415000000	7.65
4418000000	8.98
4420000000	3.48
4421000000	4.56
4423000000	6.86
4425000000	4.67
4471000000	3.89
4476000000	7.65
4477000000	3.86
4479000000	9.69
4480000000	7.99
4481000000	2.56
4482500000	6.43
4427000000	4.81
4511000000	7.15
4513000000	7.84
4514000000	4.61
4518000000	4.61
4519000000	4.96
4521000000	3.64
4571000000	9.82
4572000000	11.81
4573000000	4.16
4574000000	9.06
4575000000	18.31
4577000000	3.60
4579000000	1.83
4580000000	1.92
4611000000	4.46
4613000000	3.93
4615000000	6.73
4617000000	6.05
4623000000	5.27
4671000000	6.48
4672000000	14.27
4673000000	7.78
4677000000	3.13
4678000000	4.94
4679000000	4.80
4680000000	7.94
4681000000	2.89
4682000000	8.72
4683000000	7.45
4684000000	9.29
4686000000	3.12
4687000000	5.65
4688000000	2.25
4689000000	6.01
4690000000	3.20
4711000000	3.38
4713000000	5.92
4715000000	5.69
4717000000	13.84
4719000000	4.80
4721000000	5.82
4723000000	6.86
4725000000	8.23
4728000000	5.60
4729000000	7.20
4772000000	4.30
4773000000	1.93
4775000000	7.99
4776000000	5.99
4777000000	2.75
4782000000	2.37
4783000000	9.57
4784000000	2.30
4785000000	6.97
4790000000	7.19
4792000000	3.18
4793000000	2.05
4794000000	11.02
4812000000	5.40
4817000000	6.89
4822000000	2.34
4824000000	4.50
4825000000	3.50
4827000000	5.72
4831000000	2.03
4833000000	5.68
4872000000	3.73
4873000000	3.12
4874000000	4.89
4882000000	1.95
4884000000	6.98
4885000000	2.23
4886000000	5.74
4887000000	7.68
4888000000	6.50
4889000000	4.54
5011000000	4.06
5013000000	4.39
