CODE	F_CC
	
1100000000	 3.98 
1111000000	 41.73 
1114000000	 19.65 
1117000000	 7.12 
1120000000	 4.72 
1121500000	 2.63 
1123000000	 3.10 
1126000000	 1.20 
1129000000	 4.45 
1130500000	 3.55 
1132000000	 3.22 
1135000000	 3.15 
1138000000	 2.80 
1141000000	 4.28 
1144000000	 3.40 
1147000000	 2.13 
1150000000	 2.37 
1153000000	 3.50 
1154500000	 2.70 
1156000000	 2.97 
1159000000	 1.87 
1162000000	 2.13 
1165000000	 4.02 
1168000000	 4.70 
1171000000	 2.97 
1174000000	 2.45 
2600000000	 3.15 
2611000000	 13.10 
2614000000	 4.97 
2617000000	 6.37 
2620000000	 5.68 
2623000000	 2.47 
2626000000	 2.90 
2629000000	 3.95 
2632000000	 2.95 
2635000000	 2.68 
2638000000	 1.78 
2641000000	 3.62 
2644000000	 2.98 
2647000000	 1.82 
2650000000	 2.07 
2653000000	 1.93 
2671000000	 4.37 
2700000000	 3.25 
2711000000	 12.68 
2714000000	 3.12 
2717000000	 3.37 
2720000000	 3.77 
2723000000	 3.05 
2726000000	 3.17 
2729000000	 2.40 
2771000000	 2.60 
2800000000	 3.58 
2811000000	 13.60 
2814000000	 5.98 
2817700000	 3.63 
2818500000	 3.83 
2820000000	 1.90 
2823700000	 2.35 
2824500000	 2.37 
2826000000	 2.28 
2817700000	 4.17 
2871000000	 15.80 
2872000000	 11.22 
2900000000	 4.37 
2911000000	 16.92 
2914000000	 3.53 
2915500000	 5.03 
2917000000	 3.90 
2920000000	 2.13 
3000000000	 3.88 
3011000000	 5.33 
3014000000	 2.65 
3017000000	 2.53 
3020000000	 4.53 
3023000000	 5.93 
3100000000	 3.67 
3111000000	 2.82 
3114000000	 3.15 
3117000000	 1.70 
3120000000	 4.95 
3171000000	 5.73 
3600000000	 5.83 
4100000000	 4.10 
4111000000	 3.20 
4113000000	 2.48 
4115000000	 1.65 
4117000000	 2.67 
4119000000	 3.15 
4121000000	 3.03 
4122000000	 2.82 
4125000000	 6.07 
4127000000	 4.00 
4128000000	 3.33 
4129000000	 18.72 
4131000000	 3.03 
4136000000	 3.88 
4137000000	 5.28 
4139000000	 3.32 
4141000000	 2.98 
4143000000	 5.07 
4145000000	 2.75 
4146000000	 4.05 
4148000000	 8.23 
4150000000	 5.80 
4155000000	 6.18 
4157000000	 3.02 
4159000000	 3.43 
4161000000	 4.23 
4163000000	 6.23 
4165000000	 9.15 
4167000000	 19.57 
4180000000	 11.92 
4182000000	 16.80 
4183000000	 16.20 
4200000000	 14.20 
4211000000	 8.68 
4213000000	 5.67 
4215000000	 14.48 
4217000000	 7.07 
4219000000	 16.95 
4221000000	 10.17 
4223000000	 13.92 
4272000000	 9.32 
4273000000	 12.95 
4275000000	 71.48 
4276000000	 21.15 
4277000000	 26.83 
4278000000	 13.92 
4279000000	 26.67 
4280000000	 42.23 
4281000000	 35.60 
4282000000	 45.92 
4283000000	 17.60 
4300000000	 8.18 
4313000000	 7.73 
4315000000	 10.33 
4311000000	 4.88 
4372000000	 14.88 
4373000000	 11.65 
4374000000	 18.18 
4375000000	 11.47 
4376000000	 16.22 
4377000000	 11.13 
4380000000	 26.57 
4374500000	 16.13 
4400000000	 7.82 
4413000000	 4.28 
4415000000	 16.22 
4418000000	 11.25 
4420000000	 5.33 
4421000000	 4.43 
4423000000	 5.92 
4425000000	 9.30 
4427000000	 7.42 
4471000000	 24.70 
4476000000	 12.95 
4477000000	 10.15 
4479000000	 15.05 
4480000000	 8.55 
4481000000	 14.73 
4482500000	 13.45 
4500000000	 8.88 
4511000000	 5.52 
4513000000	 4.50 
4514000000	 6.97 
4518000000	 12.02 
4519000000	 10.07 
4521000000	 11.48 
4571000000	 18.28 
4572000000	 18.67 
4573000000	 30.40 
4574000000	 20.43 
4575000000	 17.60 
4577000000	 26.30 
4579000000	 12.72 
4580000000	 14.90 
4600000000	 10.85 
4611000000	 7.17 
4613000000	 4.33 
4615000000	 6.32 
4617000000	 10.85 
4623000000	 5.58 
4671000000	 19.55 
4672000000	 18.53 
4673000000	 21.67 
4677000000	 14.88 
4678000000	 22.57 
4679000000	 12.23 
4680000000	 15.53 
4681000000	 28.40 
4682000000	 14.77 
4683000000	 21.58 
4684000000	 10.67 
4686000000	 14.87 
4687000000	 11.00 
4688000000	 17.50 
4689000000	 12.28 
4690000000	 30.12 
4691000000	 16.68 
4700000000	 7.60 
4711000000	 3.97 
4713000000	 7.72 
4715000000	 5.90 
4717000000	 9.95 
4719000000	 2.72 
4721000000	 9.35 
4723000000	 7.58 
4725000000	 10.12 
4728000000	 18.02 
4729000000	 5.57 
4772000000	 22.32 
4773000000	 12.22 
4775000000	 27.13 
4776000000	 28.82 
4777000000	 10.13 
4782000000	 11.58 
4783000000	 16.13 
4784000000	 10.13 
4785000000	 6.57 
4790000000	 12.53 
4792000000	 12.17 
4793000000	 13.88 
4794000000	 40.98 
4800000000	 6.10 
4817000000	 5.13 
4822000000	 10.30 
4824000000	 6.45 
4825000000	 4.95 
4827000000	 10.95 
4831000000	 5.57 
4833000000	 3.58 
4812000000	 3.53 
4872000000	 17.45 
4873000000	 7.45 
4874000000	 12.40 
4882000000	 17.80 
4884000000	 12.07 
4885000000	 14.25 
4886000000	 30.77 
4887000000	 10.02 
4888000000	 8.53 
4889000000	 12.92 
5000000000	 19.95 
5011000000	 13.93 
5013000000	 36.28 
