CODE	F_VS
	
1100000000	 2,475 
1111000000	 28 
1114000000	 15 
1117000000	 19 
1120000000	 21 
1121500000	 76 
1123000000	 43 
1126000000	 97 
1129000000	 141 
1130500000	 120 
1132000000	 90 
1135000000	 205 
1138000000	 37 
1141000000	 125 
1144000000	 98 
1147000000	 128 
1150000000	 143 
1153000000	 128 
1154500000	 72 
1156000000	 61 
1159000000	 105 
1162000000	 140 
1165000000	 172 
1168000000	 261 
1171000000	 108 
1174000000	 42 
2600000000	 1,258 
2611000000	 16 
2614000000	 73 
2617000000	 90 
2620000000	 46 
2623000000	 210 
2626000000	 21 
2629000000	 56 
2632000000	 51 
2635000000	 100 
2638000000	 43 
2641000000	 106 
2644000000	 125 
2647000000	 24 
2650000000	 49 
2653000000	 77 
2671000000	 171 
2700000000	 621 
2711000000	 33 
2714000000	 51 
2717000000	 66 
2720000000	 48 
2723000000	 74 
2726000000	 117 
2729000000	 184 
2771000000	 48 
2800000000	 913 
2811000000	 105 
2814000000	 43 
2817700000	 153 
2818500000	 50 
2820000000	 111 
2823700000	 99 
2824500000	 65 
2826000000	 137 
2871000000	 123 
2872000000	 27 
2900000000	 927 
2911000000	 125 
2914000000	 115 
2915500000	 234 
2917000000	 251 
2920000000	 202 
3000000000	 409 
3011000000	 105 
3014000000	 74 
3017000000	 67 
3020000000	 95 
3023000000	 68 
3100000000	 195 
3111000000	 66 
3114000000	 24 
3117000000	 18 
3120000000	 30 
3171000000	 57 
3600000000	 49 
4100000000	 3,338 
4111000000	 164 
4128000000	 212 
4146000000	 362 
4113000000	 247 
4119000000	 58 
4127000000	 272 
4159000000	 219 
4136000000	 78 
4117000000	 80 
4122000000	 354 
4115000000	 128 
4148000000	 21 
4139000000	 200 
4157000000	 19 
4121000000	 32 
4161000000	 92 
4141000000	 17 
4150000000	 115 
4137000000	 92 
4145000000	 115 
4163000000	 27 
4131000000	 22 
4155000000	 42 
4165000000	 101 
4143000000	 16 
4167000000	 33 
4183000000	 33 
4125000000	 104 
4129000000	 25 
4182000000	 36 
4180000000	 22 
4200000000	 1,764 
4211000000	 347 
4213000000	 296 
4215000000	 192 
4217000000	 110 
4219000000	 74 
4221000000	 48 
4223000000	 22 
4272000000	 123 
4273000000	 101 
4275000000	 163 
4276000000	 39 
4277000000	 60 
4278000000	 91 
4279000000	 20 
4280000000	 25 
4281000000	 14 
4282000000	 13 
4283000000	 26 
4300000000	 1,968 
4313000000	 769 
4313000000	 204 
4315000000	 33 
4372000000	 156 
4373000000	 289 
4374000000	 41 
4375000000	 161 
4376000000	 152 
4377000000	 7 
4380000000	 143 
4374500000	 13 
4400000000	 1,141 
4413000000	 98 
4415000000	 119 
4418000000	 28 
4420000000	 90 
4421000000	 134 
4423000000	 28 
4425000000	 30 
4427000000	 30 
4471000000	 246 
4476000000	 101 
4477000000	 17 
4479000000	 63 
4480000000	 17 
4481000000	 26 
4482500000	 114 
4500000000	 766 
4511000000	 144 
4513000000	 32 
4514000000	 56 
4518000000	 60 
4519000000	 52 
4521000000	 94 
4571000000	 37 
4572000000	 41 
4573000000	 27 
4574000000	 66 
4575000000	 13 
4577000000	 18 
4579000000	 55 
4580000000	 71 
4600000000	 2,518 
4611000000	 155 
4613000000	 304 
4615000000	 640 
4617000000	 19 
4623000000	 186 
4671000000	 21 
4672000000	 27 
4673000000	 21 
4677000000	 29 
4678000000	 29 
4679000000	 262 
4680000000	 43 
4681000000	 28 
4682000000	 17 
4683000000	 36 
4684000000	 32 
4686000000	 16 
4687000000	 244 
4688000000	 148 
4689000000	 23 
4690000000	 197 
4691000000	 41 
4700000000	 3,024 
4711000000	 72 
4713000000	 158 
4715000000	 184 
4717000000	 447 
4719000000	 336 
4721000000	 45 
4723000000	 203 
4725000000	 548 
4728000000	 151 
4729000000	 60 
4772000000	 100 
4773000000	 297 
4775000000	 13 
4776000000	 3 
4777000000	 76 
4782000000	 185 
4783000000	 26 
4784000000	 18 
4785000000	 26 
4790000000	 21 
4792000000	 39 
4793000000	 16 
4794000000	 - 
4800000000	 1,981 
4812000000	 230 
4817000000	 224 
4822000000	 75 
4824000000	 139 
4825000000	 73 
4827000000	 289 
4831000000	 205 
4833000000	 234 
4872000000	 30 
4873000000	 17 
4874000000	 32 
4882000000	 23 
4884000000	 35 
4885000000	 33 
4886000000	 195 
4887000000	 48 
4888000000	 34 
4889000000	 65 
5000000000	 487 
5011000000	 250 
5013000000	 237 
