CODE	H_AR
	0.835020171
	0.888498667
	0.758113054
	0.83344873
2611000000	0.697320909
2614000000	0.651759954
2617000000	0.580754996
2620000000	0.684600039
2623000000	0.833399223
2626000000	0.859614429
2629000000	0.831144951
2632000000	0.925590588
2635000000	0.911110656
2638000000	0.844444822
2641000000	0.80153103
2644000000	0.811630322
2647000000	0.850414885
2650000000	0.847164076
2653000000	0.863264135
2671000000	0.864039304
#N/A	0.811281029
#N/A	0.891479913
#N/A	0.574641552
#N/A	0.805038423
2711000000	0.718730457
2714000000	0.802790607
2717000000	0.57348333
2720000000	0.532940597
2723000000	0.854339612
2726000000	0.843192502
2729000000	0.877930893
2771000000	0.856836928
#N/A	0.898639974
#N/A	0.603276114
#N/A	0.142672984
#N/A	0.923088672
2811000000	0.828422333
2814000000	0.726690595
2818500000	0.970174323
2820000000	0.950061181
2823700000	0.929252895
2824500000	0.960001495
2826000000	0.945989267
#N/A	0.850994099
2871000000	0.253350612
2872000000	0.246382055
#N/A	0.8381032
2911000000	0.706941259
2914000000	0.85888126
2915500000	0.796524518
2917000000	0.846118402
2920000000	0.872495606
#N/A	0.829971321
3011000000	0.746246625
3014000000	0.763013248
3017000000	0.861868224
3020000000	0.897667621
3023000000	0.816931318
#N/A	0.816475519
#N/A	0.813545396
#N/A	0.29699148
#N/A	0.842175731
3111000000	0.771096421
3114000000	0.85332186
3117000000	0.837687749
3120000000	0.894951236
3171000000	0.720245251
3600000000	0.876642778
#N/A	0.803179364
#N/A	0.300299337
#N/A	0.994926558
#N/A	0.876642778
#N/A	0.879771263
#N/A	0.833835028
#N/A	0.388407695
#N/A	0.923841296
#N/A	0.908910668
#N/A	0.891556107
#N/A	0.910372363
#N/A	0.834100509
#N/A	0.960320061
#N/A	0.867374026
#N/A	0.709779229
#N/A	0.820946738
#N/A	0.960008068
#N/A	0.913587446
#N/A	0.940491454
#N/A	0.905100307
#N/A	0.96737931
#N/A	0.927396251
#N/A	0.941145778
#N/A	0.839001051
#N/A	0.816448153
#N/A	0.9229208
#N/A	0.924633336
#N/A	0.921080888
#N/A	0.932238918
#N/A	0.93308179
#N/A	0.901415664
#N/A	0.957660498
#N/A	0.878466833
#N/A	0.907817816
#N/A	0.922277143
#N/A	0.929302868
#N/A	0.951362964
#N/A	0.955393189
#N/A	0.948649631
#N/A	0.92139028
#N/A	0.908158707
#N/A	0.775295419
#N/A	0.945053374
#N/A	0.967216725
#N/A	0.825723969
#N/A	0.698234699
