code	H_PR	H_CPR
2600000000	14.5 	9.1
2611000000	-2.0 	-0.3
2614000000	0.7 	0.6
2617000000	3.2 	-1
2620000000	0.6 	-0.9
2623000000	11.8 	8.4
2626000000	14.5 	11.3
2629000000	19.7 	9
2632000000	22.1 	6.3
2635000000	29.7 	15.1
2638000000	11.8 	6.5
2641000000	16.4 	1.8
2644000000	13.8 	20.4
2647000000	8.0 	6
2650000000	13.3 	11.2
2653000000	7.6 	10.1
2671000000	9.0 	10
2700000000	16.5 	13
2711000000	23.7 	15.8
2714000000	10.8 	10.2
2717000000	19.4 	12.2
2720000000	15.0 	9.7
2723000000	7.5 	9.6
2726000000	29.5 	16
2729000000	18.1 	13.2
2771000000	8.2 	16.6
2900000000	13.6 	8.4
2911000000	8.7 	6.1
2914000000	13.2 	8.4
2915500000	13.9 	8.1
2917000000	10.7 	6.7
2920000000	17.5 	10.8
3000000000	34.9 	26.7
3011000000	29.2 	24.8
3014000000	33.3 	30.8
3017000000	36.3 	25.8
3020000000	41.1 	29.5
3023000000	23.5 	19.1
3100000000	6.2 	12.2
3111000000	7.9 	10.7
3114000000	15.9 	18
3117000000	-5.5 	0.1
3120000000	2.4 	9.1
3171000000	0.3 	15.2
3600000000	28.5 	41.9
4200000000	-0.2 	-0.3
4211000000	-0.1 	-0.2
4213000000	-3.4 	-5.7
4215000000	9.8 	9.9
4217000000	-10.7 	-6.1
4219000000	-1.1 	1.2
4221000000	2.5 	1.4
4223000000	-5.2 	-1.1
4300000000	5.0 	5.2
4311000000	7.3 	7.5
4311100000	-0.3 	2.3
4311200000	4.3 	3.4
4311300000	13.7 	13.2
4311400000	8.4 	8.5
4313000000	3.2 	4.1
4315000000	1.5 	-0.3
4377000000	-4.8 	-1
4400000000	10.3 	11.8
4413000000	15.5 	15.3
4413100000	8.3 	8.7
4413300000	19.2 	19
4415000000	13.1 	8.4
4418000000	-3.2 	-5.2
4420000000	14.0 	16.8
4421000000	-7.1 	-1.2
4423000000	6.1 	4.7
4425000000	19.7 	17.3
4480000000	20.9 	23.6
4481000000	1.4 	7.1
4427000000	-8.5 	1.5
4500000000	4.2 	2.9
4511000000	7.0 	3.6
4511100000	6.0 	1.7
4511300000	8.0 	5.7
4513000000	0.3 	1.3
4514000000	2.4 	4.5
4518000000	5.5 	1.5
4519000000	2.6 	0.5
4521000000	4.8 	2.7
4600000000	6.4 	7.4
4611000000	-4.5 	-0.5
4613000000	13.9 	13
4615000000	11.4 	10.2
4617000000	0.3 	4
4623000000	11.3 	12.1
4684000000	-6.6 	-1
4700000000	-1.0 	-0.1
4713000000	-4.8 	-9.1
4719000000	3.2 	3.8
4711000000	0.5 	-1.5
4711100000	2.0 	-0.2
4711300000	-0.5 	-2.4
4715000000	-3.7 	0.6
4717000000	1.4 	-1.1
4721000000	0.8 	6.8
4723000000	-14.6 	-3.8
4725000000	-1.2 	1.4
4728000000	-2.2 	3.4
4729000000	-2.6 	-0.1
4785000000	-13.1 	-5.8
4800000000	-0.8 	-1.5
4812000000	6.4 	7.5
4812100000	9.9 	10.5
4812300000	14.6 	20.4
4812500000	-1.4 	0.6
4812700000	-4.6 	-4.5
4812900000	5.8 	-0.8
4817000000	-4.9 	-7.4
4822000000	-2.8 	-8.6
4824000000	-23.5 	-11.7
4825000000	-7.0 	-9.9
4827000000	-11.1 	-10.3
4831000000	-17.0 	-29
4833000000	9.5 	12.1
5000000000	9.1 	5.1
5011000000	12.9 	6.6
5013000000	-2.9 	0.2
