CODE	H_TO
1168000000	4.92
1174000000	5.75
1130500000	4.41
1150000000	7.05
1162000000	4.23
1121500000	7.47
1153000000	6.14
1154500000	11.13
1135000000	3.92
1132000000	4.76
1123000000	7.61
1159000000	5.24
1144000000	4.78
1141000000	7.17
1165000000	4.92
1120000000	6.16
1129000000	7.01
1171000000	4.68
1147000000	5.28
1156000000	6.64
1117000000	5.76
1138000000	6.63
1111000000	4.72
1114000000	3.76
1126000000	5.23
2644000000	10.47
2641000000	4.58
2671000000	4.34
2629000000	10.54
2617000000	5.99
2626000000	8.33
2623000000	6.34
2632000000	3.79
2653000000	3.96
2638000000	5.20
2614000000	7.96
2650000000	5.72
2647000000	8.60
2620000000	4.34
2611000000	6.06
2635000000	5.83
2720000000	5.58
2729000000	5.49
2771000000	7.95
2714000000	5.32
2723000000	6.11
2717000000	6.33
2726000000	6.25
2711000000	8.68
2871000000	6.32
2824500000	5.94
2820000000	6.60
2814000000	5.94
#N/A	7.70
2823700000	8.29
2826000000	9.44
2818500000	12.64
2872000000	6.71
2811000000	17.36
2920000000	7.25
2915500000	9.13
2911000000	14.48
2917000000	5.60
2914000000	5.29
3023000000	4.93
3011000000	8.70
3017000000	8.32
3020000000	9.60
3014000000	7.80
3114000000	6.58
3117000000	3.06
3120000000	13.63
3171000000	9.31
3111000000	6.88
4182000000	6.89
4128100000	8.62
4128500000	6.98
4128700000	10.17
4129000000	6.43
4121000000	7.45
4161000000	8.41
4131000000	6.68
4141000000	6.74
4157000000	9.57
4136000000	9.51
4125000000	5.06
4119000000	7.34
4113500000	4.09
4113100000	9.34
4113300000	9.53
4111300000	6.38
4111700000	13.10
4111100000	5.99
4111500000	7.66
4139000000	11.26
4127300000	7.02
4127100000	4.79
4155000000	7.67
4117300000	6.89
4117100000	6.76
4163000000	7.41
4183000000	6.86
4167000000	6.29
4180000000	3.53
4137000000	9.14
4146300000	8.96
4146500000	9.35
4146100000	8.93
4143000000	12.98
4115000000	8.84
4150000000	9.75
4148000000	5.29
4122000000	9.74
4165000000	4.85
4145000000	16.97
4159000000	12.96
4215000000	9.56
4282000000	15.62
4217000000	6.05
4223000000	3.82
4221000000	11.94
4280000000	9.53
4283000000	18.96
4275000000	9.01
4213000000	10.78
4281000000	4.57
4277000000	7.92
4278000000	4.72
4211000000	4.63
4219000000	6.09
4276000000	24.50
4272000000	8.31
4279000000	6.22
4273000000	5.40
4376000000	9.80
4380000000	8.06
4372000000	14.20
4374000000	4.88
4373000000	4.10
4377000000	6.44
4315000000	4.80
4374500000	3.00
4375000000	9.05
4311100000	8.16
4311200000	3.84
4311400000	5.67
4311300000	10.95
4313000000	7.63
4425000000	4.83
4415000000	5.22
4471000000	4.78
4423000000	8.67
4427000000	4.46
4418000000	6.59
4476000000	5.18
4421000000	7.05
4477000000	5.34
4420000000	7.00
4481000000	6.59
4413100000	7.85
4413300000	8.60
4479000000	4.29
4482500000	8.90
4480000000	4.89
4579000000	7.82
4513000000	5.51
4521000000	5.63
4519000000	3.76
4573000000	6.68
4580000000	6.54
4577000000	6.85
4571000000	9.60
4514000000	5.89
4575000000	3.97
4574000000	4.43
4511300000	10.45
4511100000	5.32
4518000000	5.55
4572000000	3.88
4681000000	10.38
4677000000	6.26
4672000000	11.75
4623000000	9.81
4673000000	6.45
4617000000	4.93
4671000000	4.09
4611000000	5.15
4684000000	6.53
4678000000	5.42
4615000000	7.54
4691000000	30.87
4613000000	9.84
4687000000	6.97
4683000000	4.21
4689000000	6.52
4688000000	2.58
4680000000	12.37
4690000000	23.22
4686000000	6.07
4682000000	11.67
4679000000	2.74
4729000000	7.92
4713000000	6.00
4783000000	3.56
4719000000	5.60
4772000000	4.97
4715000000	8.18
4728000000	5.16
4792000000	5.81
4725000000	4.13
4784000000	7.88
4717000000	4.61
4777000000	5.63
4776000000	6.89
4721000000	4.11
4723000000	7.10
4790000000	10.91
4794000000	1.44
4793000000	5.58
4773000000	5.86
4782000000	6.50
4775000000	6.79
4785000000	7.12
4711100000	6.43
4711300000	6.30
4831000000	4.59
4888000000	5.64
4882000000	3.46
4825000000	10.84
4884000000	13.40
4827000000	6.84
4824000000	4.39
4886000000	6.70
4833000000	5.96
4872000000	9.35
4817000000	11.33
4874000000	8.74
4812500000	5.04
4812700000	4.58
4812300000	5.16
4812100000	9.78
4812900000	3.86
4822000000	6.14
4885000000	4.39
4873000000	3.37
4887000000	9.17
4889000000	7.11
5013000000	8.64
5011000000	6.33
