CODE	J_C
2611000000	348.8
2614000000	86.3
2617000000	156.8
2620000000	80.5
2623000000	94.2
2626000000	72.2
2629000000	60.2
2632000000	51.9
2635000000	69.2
2638000000	69.8
2641000000	75.4
2644000000	147.9
2647000000	80.6
2650000000	79.2
2653000000	129.4
2671000000	69.9
2711000000	276.6
2714000000	76.4
2717000000	106.7
2720000000	95.5
2723000000	94.5
2726000000	64.3
2729000000	75.0
2771000000	72.9
2911000000	150.7
2914000000	92.0
2915500000	67.5
2917000000	79.3
2920000000	79.1
3011000000	83.1
3014000000	86.2
3017000000	76.1
3020000000	72.2
3023000000	102.7
3111000000	74.6
3114000000	98.4
3117000000	56.0
3120000000	56.7
3171000000	77.2
4211000000	83.3
4213000000	88.0
4215000000	100.0
4217000000	90.1
4219000000	107.1
4221000000	110.9
4223000000	101.7
4272000000	93.8
4273000000	90.8
4275000000	101.1
4276000000	112.3
4277000000	110.3
4278000000	85.9
4279000000	93.3
4280000000	93.5
4281000000	110.3
4282000000	112.6
4283000000	148.1
4313000000	89.9
4315000000	97.8
4311000000	75.8
4372000000	91.0
4373000000	82.8
4374000000	77.5
4375000000	88.5
4376000000	77.2
4377000000	107.6
4380000000	107.0
4374500000	83.5
4413000000	81.2
4415000000	88.8
4418000000	89.6
4420000000	72.1
4421000000	75.0
4423000000	97.6
4425000000	56.7
4427000000	80.7
4471000000	115.9
4476000000	76.2
4477000000	94.7
4479000000	106.7
4480000000	85.9
4481000000	91.8
4482500000	102.8
4511000000	84.3
4513000000	83.1
4514000000	82.8
4518000000	84.5
4519000000	91.3
4521000000	91.0
4571000000	79.5
4572000000	77.9
4573000000	103.4
4574000000	70.8
4575000000	78.1
4577000000	75.1
4579000000	99.1
4580000000	92.0
4611000000	94.6
4613000000	88.3
4615000000	85.1
4617000000	80.8
4623000000	81.1
4671000000	92.0
4672000000	76.2
4673000000	89.6
4677000000	81.8
4678000000	88.9
4679000000	84.4
4680000000	105.1
4681000000	98.1
4682000000	82.4
4683000000	90.5
4684000000	72.3
4686000000	81.4
4687000000	88.7
4688000000	81.2
4689000000	94.7
4690000000	99.8
4691000000	77.1
4711000000	85.7
4713000000	102.1
4715000000	77.1
4717000000	88.1
4719000000	86.4
4721000000	93.3
4723000000	87.8
4725000000	79.1
4728000000	88.0
4729000000	80.5
4772000000	82.9
4773000000	81.4
4775000000	86.7
4776000000	79.6
4777000000	107.1
4782000000	101.7
4783000000	127.8
4784000000	100.8
4785000000	106.9
4790000000	67.8
4792000000	80.9
4793000000	98.1
4794000000	136.0
4817000000	91.3
4822000000	91.1
4824000000	93.6
4825000000	88.3
4827000000	89.8
4831000000	66.1
4833000000	78.2
4812000000	82.9
4872000000	77.7
4873000000	119.5
4874000000	91.4
4882000000	91.8
4884000000	108.7
4885000000	90.1
4886000000	89.6
4887000000	90.0
4888000000	80.9
4889000000	78.8
5011000000	99.4
5013000000	96.2
