CODE	J_ER
2611000000	53.1
2614000000	51.5
2617000000	50.4
2620000000	47.5
2623000000	54
2626000000	53.8
2629000000	50
2632000000	52.2
2635000000	52.7
2638000000	54.2
2641000000	51.7
2644000000	63.6
2647000000	54.3
2650000000	54.2
2653000000	55.2
2671000000	57.6
2711000000	56.6
2714000000	54.9
2717000000	52.4
2720000000	50.5
2723000000	54.8
2726000000	53
2729000000	55
2771000000	63.2
2911000000	54.6
2914000000	59.9
2915500000	56.8
2917000000	55.4
2920000000	61.4
3011000000	54.3
3014000000	58.3
3017000000	60.1
3020000000	60.4
3023000000	59
3111000000	55.6
3114000000	56.4
3117000000	54.6
3120000000	60.5
3171000000	60.2
4211000000	58.6
4213000000	60.1
4215000000	61.4
4217000000	61.9
4219000000	61.6
4221000000	62.3
4223000000	61
4272000000	71.1
4273000000	66.2
4275000000	65.8
4276000000	72.4
4277000000	70
4278000000	65.7
4279000000	69.9
4280000000	71.2
4281000000	71.5
4282000000	70.1
4283000000	71.5
4311000000	61.7
4313000000	63.8
4315000000	60.1
4372000000	69.1
4373000000	63.2
4374000000	63
4375000000	71.4
4376000000	68.9
4377000000	69.4
4380000000	66.1
4374500000	65.8
4413000000	63.8
4415000000	62.7
4418000000	63.6
4420000000	62
4421000000	67.8
4423000000	64.6
4425000000	57.4
4427000000	68.8
4471000000	67.2
4476000000	66.1
4477000000	69.2
4479000000	79.3
4480000000	66
4481000000	67.7
4482500000	71.9
4511000000	60.1
4513000000	56.1
4514000000	58.3
4518000000	64.1
4519000000	66
4521000000	64.5
4571000000	62
4572000000	72.2
4573000000	74.4
4574000000	79.5
4575000000	73.9
4577000000	71.7
4579000000	68.2
4580000000	70.2
4611000000	57.1
4613000000	64
4615000000	63.3
4617000000	67.6
4623000000	66
4671000000	68.6
4672000000	68.7
4673000000	69.9
4677000000	74.9
4678000000	72.8
4679000000	63.8
4680000000	72.7
4681000000	70.2
4682000000	74.3
4683000000	69.7
4684000000	59.2
4686000000	70.4
4687000000	69.7
4688000000	67.6
4689000000	66.4
4690000000	73.6
4691000000	78.5
4711000000	58.5
4713000000	61.3
4715000000	64.7
4717000000	61.7
4719000000	60.5
4721000000	59
4723000000	67.3
4725000000	66.6
4728000000	60.6
4729000000	57.3
4772000000	70.6
4773000000	72.8
4775000000	79.7
4776000000	71.5
4777000000	63.4
4782000000	71.4
4783000000	69
4784000000	68.7
4785000000	63.1
4790000000	69.9
4792000000	73
4793000000	62
4794000000	84.3
4817000000	57.6
4822000000	56.8
4824000000	62.6
4825000000	59
4827000000	61.2
4831000000	59.8
4833000000	57.1
4812000000	58.6
4872000000	69.5
4873000000	64.7
4874000000	67.7
4882000000	67.7
4884000000	67.5
4885000000	70.3
4886000000	74.5
4887000000	67.6
4888000000	67.9
4889000000	66.8
5011000000	65.3
5013000000	72.5
