CODE	Name	Y1	Y2	Y_1	Y_2	Y_3
2614000000	부산광역시 서구 	-1.369 	0	0.257	-1.106	1.577
2620000000	부산광역시 영도구 	-3.593 	0	0.963	-2.654	3.425
2623000000	부산광역시 부산진구 	-0.350 	0	0.205	-0.379	0.083
2626000000	부산광역시 동래구 	-0.839 	0	0.361	-0.991	-0.325
2629000000	부산광역시 남구 	-0.970 	0	-0.216	-1.153	1.997
2632000000	부산광역시 북구 	-2.883 	0	1.163	-2.236	1.004
2635000000	부산광역시 해운대구 	-1.707 	0	0.587	-1.259	0.961
2638000000	부산광역시 사하구 	-2.425 	0	0.611	-1.659	2.603
2641000000	부산광역시 금정구 	-1.704 	0	0.466	-1.338	1.286
2644000000	부산광역시 강서구 	1.963 	1	-1.152	0.985	-0.924
2647000000	부산광역시 연제구 	-0.345 	0	0.320	-0.473	-0.695
2650000000	부산광역시 수영구 	0.468 	1	0.332	0.778	-0.841
2653000000	부산광역시 사상구 	-2.668 	0	0.980	-1.690	2.120
2671000000	부산광역시 기장군 	1.129 	1	-1.190	0.905	1.021
2714000000	대구광역시 동구 	-0.558 	0	0.360	-0.329	0.022
2717000000	대구광역시 서구 	-4.571 	0	1.683	-2.817	3.583
2720000000	대구광역시 남구 	-0.849 	0	0.393	0.062	1.429
2723000000	대구광역시 북구 	0.893 	1	-0.444	0.524	-0.643
2726000000	대구광역시 수성구 	-1.332 	0	0.458	-0.984	0.051
2729000000	대구광역시 달서구 	-1.754 	0	0.502	-1.325	1.261
2771000000	대구광역시 달성군 	1.397 	1	-0.347	0.796	-1.637
2911000000	광주광역시 동구 	2.669 	1	-0.896	1.552	-2.569
2914000000	광주광역시 서구 	-0.499 	0	0.158	0.822	1.747
2915500000	광주광역시 남구 	-0.864 	0	0.276	0.075	1.238
2917000000	광주광역시 북구 	-0.462 	0	0.231	0.207	0.530
2920000000	광주광역시 광산구 	1.249 	1	-0.610	2.175	0.796
3011000000	대전광역시 동구 	-0.880 	0	-0.200	-0.898	1.921
3014000000	대전광역시 중구 	-1.196 	0	0.348	-0.397	1.633
3017000000	대전광역시 서구 	-0.049 	0	0.188	0.357	-0.055
3020000000	대전광역시 유성구 	1.186 	1	-0.619	0.569	-0.507
3023000000	대전광역시 대덕구 	-1.449 	0	0.591	-0.758	0.690
3111000000	울산광역시 중구 	-4.046 	0	1.382	-2.646	3.244
3114000000	울산광역시 남구 	-1.874 	0	0.913	-1.029	0.620
3117000000	울산광역시 동구 	-5.478 	0	0.944	-4.104	6.521
3120000000	울산광역시 북구 	0.749 	1	0.238	0.496	-2.520
3171000000	울산광역시 울주군 	0.045 	1	-0.106	0.153	0.145
3611000000	세종특별자치시  	8.738 	1	-3.574	4.774	-7.074
4211000000	강원도 춘천시 	1.363 	1	-0.528	0.813	-1.259
4213000000	강원도 원주시 	1.406 	1	-0.233	1.394	-1.746
4215000000	강원도 강릉시 	0.009 	1	0.059	0.613	-0.070
4311000000	충청북도 청주시 	0.457 	1	0.031	0.848	-0.304
4313000000	충청북도 충주시 	-0.254 	0	0.200	0.127	-0.145
4315000000	충청북도 제천시 	-1.371 	0	0.268	-0.399	1.938
4413000000	충청남도 천안시 	0.990 	1	-0.462	0.722	-0.315
4415000000	충청남도 공주시 	-1.947 	0	0.202	-1.816	2.334
4420000000	충청남도 아산시 	0.693 	1	-0.949	0.217	0.967
4421000000	충청남도 서산시 	0.222 	1	-0.225	-0.350	-0.376
4423000000	충청남도 논산시 	-2.596 	0	0.695	-2.182	1.870
4427000000	충청남도 당진시 	-2.402 	0	0.005	-2.696	2.900
4511000000	전라북도 전주시 	0.675 	1	-0.221	0.930	-0.329
4513000000	전라북도 군산시 	-1.703 	0	0.000	-0.822	3.438
4514000000	전라북도 익산시 	-2.150 	0	0.509	-0.940	2.867
4518000000	전라북도 정읍시 	-2.147 	0	0.443	-1.087	2.770
4611000000	전라남도 목포시 	-2.143 	0	0.127	-0.531	4.563
4613000000	전라남도 여수시 	-1.294 	0	0.322	-0.183	2.050
4615000000	전라남도 순천시 	0.035 	1	0.266	1.253	-0.286
4617000000	전라남도 나주시 	1.580 	1	-0.565	0.972	-1.276
4623000000	전라남도 광양시 	-0.592 	0	0.489	1.224	0.743
4711000000	경상북도 포항시 	-1.583 	0	0.421	-0.772	1.859
4713000000	경상북도 경주시 	-1.700 	0	0.537	-1.638	0.412
4715000000	경상북도 김천시 	-1.958 	0	0.393	-1.773	1.754
4717000000	경상북도 안동시 	-1.692 	0	0.437	-0.617	2.214
4719000000	경상북도 구미시 	-1.993 	0	0.543	-1.547	1.768
4721000000	경상북도 영주시 	-2.241 	0	0.451	-1.443	2.576
4723000000	경상북도 영천시 	-0.494 	0	0.041	-0.562	0.344
4729000000	경상북도 경산시 	0.731 	1	-0.597	0.185	0.107
4785000000	경상북도 칠곡군 	-5.041 	0	0.530	-4.342	6.272
4817000000	경상남도 진주시 	0.086 	1	0.026	0.553	-0.029
4822000000	경상남도 통영시 	-4.424 	0	0.442	-3.338	6.169
4824000000	경상남도 사천시 	-2.196 	0	0.420	-1.153	2.996
4825000000	경상남도 김해시 	0.054 	1	-0.047	0.617	0.314
4827000000	경상남도 밀양시 	-3.110 	0	0.841	-1.738	3.401
4831000000	경상남도 거제시 	-5.243 	0	0.160	-4.207	7.325
4833000000	경상남도 양산시 	0.391 	1	-0.139	0.303	-0.362
5011000000	제주특별자치도 제주시 	1.075 	1	-0.240	1.730	-0.370
5013000000	제주특별자치도 서귀포시 	0.104 	1	0.023	0.523	-0.080

